Name,Link,Link,Link,Link
Jay Cutler,https://www.espn.com/nfl/player/_/id/9597/jay-cutler,https://en.wikipedia.org/wiki/Jay_Cutler,https://podcasts.apple.com/us/podcast/uncut-with-jay-cutler/id1581842688,https://www.youtube.com/channel/UCzO91i-LxXgh_FKku4zhZJg
Adam Duvall,https://baseballsavant.mlb.com/savant-player/adam-duvall-594807?stats=statcast-r-hitting-mlb,,,
Garrett Mithcell,https://baseballsavant.mlb.com/savant-player/garrett-mitchell-669003?stats=statcast-r-hitting-mlb,,,
Mason Miller,https://baseballsavant.mlb.com/savant-player/mason-miller-695243?stats=statcast-r-pitching-mlb,,,
Mark Andrews,,,,
Noah Gray,,,,
Adonai Mitchell,,,,
Blake Ferguson,,,,
Chad Muma,,,,
Chris Dudley,,,,
Adam Morrison,,,,
Gary Forbes,,,,
Austin Freeman,,,,
Jason Johnson,,,,
Brandon Morrow,,,,
Luke Kunin,,,,
Max Domi,,,,
Kaapo Kakko,,,,
Riley Tufte,,,,
Jordan Morris,,,,
Andy Rose,,,,
Nacho Fernandez,,,,
Jake O'Brien,,,,
